1298843945787707398,"https://t.co/UhxGkJIzFl"
1298840183266312192,"https://t.co/YazmocNLXR","https://t.co/aH4iLJ7b4u"
1298836397986582528,"https://t.co/87h8wZTo83","https://t.co/hOAkh4lpe0"
1298832636538953731,"https://t.co/42sqwbIu69","https://t.co/01aXwhHROE"
1298830106081865729,"https://t.co/kDDSvntdA7","https://t.co/DjWvHwWnAt"
1298827590640308226,"https://t.co/CCKCXuDJe7","https://t.co/LlDDN1ux5A"
1298827589398781953,"https://t.co/x5ZQvKP0gn","https://t.co/bY5rq9Gupc"
1298825098846244868,"https://t.co/pGI7XwnYBt","https://t.co/ayvnW5fRFW"
1298823816412573696,"https://t.co/TPexcd7Ufs","https://t.co/sNcBVri5E7"
1298822392735846400,"https://t.co/hfluMnm1vP","https://t.co/UUXqHbNNP2"
1298820037847977989,"https://t.co/97Zl23P0Mj","https://t.co/qc7KqCfi9X"
1298815003668119552,"https://t.co/6s5NdVwlVa","https://t.co/UTuyc7MXCP"
1298809984663388160,"https://t.co/a9LNDp3S0K","https://t.co/8erC4j6nBG"
1298807457054175232,"https://t.co/ByiySJTTil","https://t.co/OUZF0RdVnU"
1298804939683176448,"https://t.co/8nXcndnE7A","https://t.co/ToljmVJlCu"
1298802436187054081,"https://t.co/OyWoVCQe5Z","https://t.co/Cthdcequgi"
1298801327875731457,"https://t.co/McVKIfty4F","https://t.co/PDwIoWgrR0"
1298799907655110657,"https://t.co/WIUaEhbky0","https://t.co/rbomOVVvXt"
1298797391152328712,"https://t.co/hTA03dS7VK","https://t.co/bGVPFbG8SH"
1298795964975771648,"https://t.co/ddvhr1iUTO","https://t.co/AylMNYZHQd"
1298794894677377026,"https://t.co/9sfr7UGLZP","https://t.co/vzoygZexL4"
1298792357018599424,"https://t.co/8EaFCcAerv","https://t.co/FcoF5S8UoY"
1298789841551986691,"https://t.co/ptJ2zCcHOg","https://t.co/0lcTs8flo2"
1298787348352774150,"https://t.co/jSeIWeIMdV","https://t.co/AQINiX18ns"
1298779814317510658,"https://t.co/IqZMU5exLf","https://t.co/nAOxVBc5Bd"
1298777060664586242,"https://t.co/y1NqF7sErj","https://t.co/NkViu3VlKL"
1298775935207043072,"https://t.co/EubKioyI1n","https://t.co/RRAdAEdlDx"
1298773863778705410,"https://t.co/L4kKG9i9sz","https://t.co/7oFjXGlYDh"
1298767193522556933,"https://t.co/QzjWGxYtaR","https://t.co/gR6Qzgzvlp"
1298764728446132225,"https://t.co/rOCJlZOG6M","https://t.co/nhSQqvVZf1"
1298762159887986689,"https://t.co/7Y1eXP43p6","https://t.co/c1qIvZJUb9"
1298759642160529409,"https://t.co/J3GWvNeF2o","https://t.co/NUGcPPKW5h"
1298758387325378560,"https://t.co/2lDdqflV7J","https://t.co/cQQxjyIwQ4"
1298757216846131200,"https://t.co/sQF1Tk8WDG","https://t.co/k8JAzVqPtA"
1298754608286830593,"https://t.co/8rto9FkNKL","https://t.co/PuOBxRlLDL"
1298752094388793344,"https://t.co/2L48Gi8x4F","https://t.co/IGKsmMJHEu"
1298749630151262209,"https://t.co/CLLAm3UIHP","https://t.co/yfoXl5zSQx"
1298747666990616578,"https://t.co/Pxlt3t0Lr6","https://t.co/ersRXea8Lb"
1298747063124013058,"https://t.co/LOvOBWIp2M","https://t.co/mxFfgDQBay"
1298744545694416897,"https://t.co/KeMSK0fF5L","https://t.co/o9UR1Hhus4"
1298742124939292674,"https://t.co/l9TaSF9kUC","https://t.co/ItOy2uExDG"
1298739513703960576,"https://t.co/3iM3eotAXP","https://t.co/ZWURPR1lUJ"
1298736993841618944,"https://t.co/TrmDUweCHG","https://t.co/ti5kHIV82K"
1298734569731117056,"https://t.co/4rQUy5oHtD","https://t.co/DhUOZvxSBe"
1298731965236080641,"https://t.co/CwozXQAoxM","https://t.co/QJeMzSewU8"
1298729444077699072,"https://t.co/jUTUOeZBsg","https://t.co/eMt70yl5FS"
1298727013369470978,"https://t.co/dGdmdguWHx","https://t.co/QKXGy6vsVn"
1298721905688473601,"https://t.co/IBuXl0UTNI","https://t.co/mlXUsfA2gu"
1298719448082206721,"https://t.co/cjvWbWaB2p","https://t.co/frdj58PZ0n"
1298716879276539904,"https://t.co/Sr57ZuKXuj","https://t.co/5VWEgKB98H"
1298714361129623554,"https://t.co/I3zTGxvw0I","https://t.co/uXWeiTPly3"
1298711925216296964,"https://t.co/c0fBtVuHn8","https://t.co/Z2l9dQqIBH"
1298709315637800962,"https://t.co/0PCx7a77pR","https://t.co/hGZpkrsDZq"
