1283582273623863296,"https://t.co/t66UsybqaD"
1283559640144510976,"https://t.co/abLMTDF5vr"
1283555697460834308,"https://t.co/plphENIlPr"
1283552427577352199,"https://t.co/yvuq5dbHBk"
1283551924927688705,"https://t.co/hHEBDtxewU"
1283548655849558016,"https://t.co/nTtipCanQM"
1283546619875659776,"https://t.co/M4NlIX3ml4"
1283499326031794176,"https://t.co/2g3peKPJfL","https://t.co/jxWBEpi5lz"
1283494292913152000,"https://t.co/OprNYpCwCU","https://t.co/C9EZzkq0fe"
1283493602870603780
1283489259685474304,"https://t.co/uYQRs24xYO","https://t.co/LX9BwEwuYa"
1283484226541826050,"https://t.co/PPZflN2yhk","https://t.co/GT5HabQYIe"
1283479193297186816,"https://t.co/rk4XUOLYPS","https://t.co/WXQr78rVKc"
1283474160044449792,"https://t.co/gdQBIHDxw1","https://t.co/PBgNdNyMY4"
1283467617391374337,"https://t.co/eUI8jIfkiX","https://t.co/I0QdMRYKVJ"
1283452517607596032,"https://t.co/LvSH0n8Gv0","https://t.co/u5t1b0ipZt"
1283444967856173056,"https://t.co/wq7qBucLZG","https://t.co/HCKvZ8jCx2"
1283442451202613252,"https://t.co/DrZFfkPTuV","https://t.co/QfqNFDcMEa"
1283439935148765185,"https://t.co/ZmUCotLMJG","https://t.co/caFjs6vL0w"
1283437418209857537,"https://t.co/usnUJM9vR9","https://t.co/3cgPLWYQek"
1283434901946224640,"https://t.co/7OXm1h0law","https://t.co/ldJounGGNh"
1283432385296633858,"https://t.co/UnToVYSaUf","https://t.co/VzzT9czMQW"
1283429868370198528,"https://t.co/3EOD1Wi6Ew","https://t.co/LKTSkMUPLl"
1283427352287076358,"https://t.co/x0iLDwMhYp","https://t.co/pchVq6j6Rs"
1283424835377356802,"https://t.co/BucQAS3HKm","https://t.co/OBtqbGMTO0"
1283422318572654594,"https://t.co/VOgCVgTtTw","https://t.co/cwBpTTwIfA"
1283419802296410114,"https://t.co/usPuSAsWyJ","https://t.co/kcS3Bs1jqP"
1283417285936517120,"https://t.co/qC8kaQaduS","https://t.co/MNrQ51DTJN"
1283414768766902272,"https://t.co/TGpwjsKcTW","https://t.co/PFI75c4a3E"
1283412252897406977,"https://t.co/HDSow9T2El","https://t.co/gjyXu6oGVd"
1283409735836893190,"https://t.co/fuo4JfcPFS"
1283406967411793920,"https://t.co/NKEbPkTrkC","https://t.co/hdtycsFp3Z"
1283404450896531456,"https://t.co/EuoBGSeB1j","https://t.co/Ue2phsViyt"
1283401944002953216,"https://t.co/pUJD418xnv","https://t.co/2gTeya5eob"
1283397346743783425,"https://t.co/GpBH3CoUIb","https://t.co/36hWVOg036"
1283393126233600007,"https://t.co/x4ZmvN8Rdr","https://t.co/CNvabQbBpF"
1283390609944834048,"https://t.co/Bdua0fuyG1","https://t.co/UC389gK0sN"
1283388093144301569,"https://t.co/02itWOiYST","https://t.co/v6FQSrG5k5"
1283385324765249536,"https://t.co/popiGHBn1W","https://t.co/jysPQMfLbY"
1283382808241635328,"https://t.co/1V0DqbsMlU","https://t.co/HRjCjhDN94"
1283380206087081984,"https://t.co/Z8dZAioYn0","https://t.co/HO6VUKDq4v"
1283380089443491841,"https://t.co/02itWOAAht","https://t.co/VRxsISQBGo"
