1285782131550162944
1285750200791961600,"https://t.co/Sr3wCq2Cib"
1285721297515941888,"https://t.co/Ok1nSxnFdS"
1285671136618057729,"https://t.co/aRs2nuqS0p","https://t.co/I2NGRg196X"
1285668620039847936,"https://t.co/lYpXYucxSL","https://t.co/NoNTZRA05v"
1285663586774204416,"https://t.co/PtLQCxJk0E","https://t.co/v4fu1eX1xL"
1285658553701871616,"https://t.co/d1gph42lk8","https://t.co/08qsaiQ3Is"
1285653520528670722,"https://t.co/OMlKCLWIet","https://t.co/PqfkbQxkEu"
1285648487351083008,"https://t.co/Dr6H1gIB5A","https://t.co/JMvdzdlaLC"
1285643454488301570,"https://t.co/2utAJqmrYm","https://t.co/LO1swiC6oY"
1285636801055596544,"https://t.co/z94ajHhynJ","https://t.co/oKEc8I7AgV"
1285624328088719360,"https://t.co/iW8ZCfp78G","https://t.co/mWavyHTwB0"
1285621812101963776,"https://t.co/lD1vWiLNwZ","https://t.co/FyUT2ucohF"
1285619295104319489,"https://t.co/rzuYlGxNX9","https://t.co/QBNHhdxaya"
1285617281980968961,"https://t.co/cKoKApdjeU","https://t.co/gBp09JlFss"
1285614765172285440,"https://t.co/jS7krPqvdt","https://t.co/Py8NaWmEZa"
1285612248682000384,"https://t.co/MgfkLtPR18","https://t.co/asKYE31r09"
1285609619197440000,"https://t.co/bsKcM31AHc","https://t.co/AVa21q7YMg"
1285604195408764934,"https://t.co/c17FXyxGsj","https://t.co/T3KLmQ3ndH"
1285601679631462400,"https://t.co/6dcPUZfO4R","https://t.co/rxycVMC1gz"
1285599162885476352,"https://t.co/2hlSU8LNqB","https://t.co/4stEWkpq6q"
1285596645799985152,"https://t.co/pUDWQTTgXZ","https://t.co/VKWUSy0X14"
1285594129217417216,"https://t.co/dkJmeOMiHR","https://t.co/ptFT8BEvgM"
1285591574777298945,"https://t.co/2qaYLHOYK1","https://t.co/0PkUDOuD4F"
1285589097650814978,"https://t.co/3h6P75GQaw","https://t.co/L8sCLLGii6"
1285589095964717056,"https://t.co/MnBK24GQLj","https://t.co/MtEc8AF3c5"
1285583763301433345,"https://t.co/yQCqLu8bMX","https://t.co/tIg327fg0W"
1285580154920751108,"https://t.co/M2PIQKq4cM","https://t.co/esYBmHWlMB"
1285573996684222464,"https://t.co/5z0wdX6zvj","https://t.co/Q9aqct5sCx"
1285571615837884421,"https://t.co/FPmD8ZTtbV","https://t.co/l46zLd3xkT"
1285564685190750213,"https://t.co/N6RsOG7WcD","https://t.co/HEx9wF8HHA"
1285562168830595074,"https://t.co/slq11wTEWL","https://t.co/XRaQuMLhae"
1285559651946442752,"https://t.co/YrQOBNDE6b","https://t.co/FfraHuH9Vm"
1285556992350855168,"https://t.co/5Nltk7D393","https://t.co/RQW0v05Pmu"
1285551521921486854,"https://t.co/jgYLEG1Sat","https://t.co/TEUJbbWjqo"
1285548626379497473,"https://t.co/jgYLEG1Sat","https://t.co/4yWcxnXecn"
