1289414535388987393,"https://t.co/SNqX0dOAYG"
1289410528641597440,"https://t.co/IKZTg3EdRp","https://t.co/jQus3tdHcY"
1289395431877861376,"https://t.co/uvGzQQC61E","https://t.co/3ZQJ69Vvf0"
1289380327610187777,"https://t.co/9f3g5f0rwW","https://t.co/TysTt3QlD9"
1289365227826339840,"https://t.co/GGyYCPsHoc","https://t.co/OzmWILpUpq"
1289353543477080068
1289327440460836864
1289322445866971138,"https://t.co/WLXDofiAYx","https://t.co/RwokUpALuq"
1289297280395165698,"https://t.co/XjJggLGksq","https://t.co/XbnopE5qJm"
1289293505219694592,"https://t.co/OdlPaxED57","https://t.co/fN170OgsD4"
1289290989174046720,"https://t.co/eqHGg6Rm0o","https://t.co/jE0MofFlcl"
1289289733932294149,"https://t.co/IKZTg3mCZR","https://t.co/C5rjvM8vbe"
1289287213830885377,"https://t.co/Tyk0CuALB6","https://t.co/b5axWnHJU0"
1289277147547340802,"https://t.co/uvGzQQC61E","https://t.co/gDJc3DTw5l"
1289274633795981313,"https://t.co/iJCfslCRmW","https://t.co/gUNycThCi8"
1289268339605409795,"https://t.co/9f3g5eIQFo","https://t.co/VFOjbflGc4"
1289264564966535168,"https://t.co/WLXDofAbQ5","https://t.co/EW3cfPcKEB"
1289258702705287168,"https://t.co/rf2EVaUTBz","https://t.co/cSg6vuo6rw"
1289254498209345545,"https://t.co/GGyYCPKiMM","https://t.co/UHyBoyVWb5"
1289221784936431617,"https://t.co/NnEho6fT4m","https://t.co/NoOmDKA2O0"
1289221783875473409,"https://t.co/Ph39BuhLVN","https://t.co/0Xwz6ARFhp"
1289219266185584642,"https://t.co/Zq7K9UJj4Y","https://t.co/nBLUVxi97T"
1289216749829632002,"https://t.co/WLXDofAbQ5","https://t.co/8UjgdJmbkh"
1289205424907071494,"https://t.co/LK7VxVTFdZ","https://t.co/IrOxbcOhSh"
1289196616801554433,"https://t.co/9QQYiMp0K2","https://t.co/JBqqCI56D9"
1289192842162843648,"https://t.co/xcKRZ1sEOC","https://t.co/hBJjsWYARY"
1289191585448632321,"https://t.co/KgMGqatwKv","https://t.co/HNpesefS0U"
1289189067423223810,"https://t.co/jRjl8ujTIE","https://t.co/QH93EPQdp1"
1289186550949875714,"https://t.co/yyHjX6NMRq","https://t.co/9KXgy1f9WW"
1289184043737559040,"https://t.co/ovtGEoFhvl","https://t.co/z2BlaSeowE"
1289181013999050754,"https://t.co/VgHbwltybv","https://t.co/vYzrDd9sdh"
1289179000842194944,"https://t.co/bh7ByGZOH2","https://t.co/WzuDX4cQYi"
1289176486826479619,"https://t.co/KgMGqaL7C3","https://t.co/4tllPZLhup"
1289173967538999297,"https://t.co/KgMGqatwKv","https://t.co/8KJOcVvgaW"
