1295904604824244225
1295871872068988931,"https://t.co/3pmSkUj2Gz"
1295851861690519552,"https://t.co/Rt5l9nu84K","https://t.co/gOjNSRpOkj"
1295833348041068545,"https://t.co/7G4webpkm5","https://t.co/yFLixlo7e6"
1295828314909741056,"https://t.co/ifPIVI36qU","https://t.co/WikeFCigpb"
1295823281627336704,"https://t.co/nSzp5eNgvh","https://t.co/iZjwgKI2x3"
1295818248483733505,"https://t.co/7v3IW0cHL9","https://t.co/q8TVDRwwef"
1295813215646097410,"https://t.co/Fdo6cj3CDK","https://t.co/mqWIPZxuOb"
1295808182107770880,"https://t.co/lamG5q9phX","https://t.co/ePon9wqSO5"
1295802262837776387,"https://t.co/whEWpAOw3d","https://t.co/Pmj0CHxmpy"
1295762380576694272,"https://t.co/8mjk9ift24","https://t.co/44KWHXBGm2"
1295759863704739840,"https://t.co/QNFApu9mVW","https://t.co/0ZBMo1I5zO"
1295757347306893312,"https://t.co/HVpjQnhPew","https://t.co/oSM3cPQFs8"
1295754830712123392,"https://t.co/wLHBLjLTT7","https://t.co/zunyMtjdJj"
1295752315757105153,"https://t.co/gdw813XXmJ","https://t.co/fOBYoQK9NH"
1295749797517852675,"https://t.co/ZFMMaJWbX4","https://t.co/HmcfQ42msh"
1295747280918573061,"https://t.co/X4FUYSfa8l","https://t.co/E1b5w5tU5t"
1295744764814356481,"https://t.co/xffx38McoV","https://t.co/vXZ3LHBMcb"
1295743002787414018,"https://t.co/j2sujZqgmN","https://t.co/4fLfPdRkcL"
1295733140850442240,"https://t.co/mx0NzOMM3v","https://t.co/gh74ceLf6K"
1295729665865383936,"https://t.co/HxF5nNU9Sb","https://t.co/Ccq7JP4crA"
1295726896647299078,"https://t.co/9g9ZhK7nvn","https://t.co/NlE1PZpAaV"
1295726001461301251,"https://t.co/1gH2JEuhQt","https://t.co/SxoW0fI41Y"
1295720856698548224,"https://t.co/zsDNNcI9jv","https://t.co/UW9oskDEo4"
1295718571226673152,"https://t.co/QUlVEz0wm5","https://t.co/ZLqypu2NhA"
1295714567104761857,"https://t.co/fzkfV60FkP","https://t.co/kVSretZlVP"
1295712048870023168,"https://t.co/fzkfV5J4th","https://t.co/qDfP4mprZ1"
1295709532287414272,"https://t.co/lbqLUqLSbX","https://t.co/KN1C26WPz0"
1295707017948979201,"https://t.co/dIHKhC3yqw","https://t.co/9f9f0LQcQF"
1295704499156160512,"https://t.co/N0YpoYuU80","https://t.co/Kr3bC3Av4o"
1295701982468923392,"https://t.co/P6goPBunbY","https://t.co/wD7rijlKAJ"
1295699465915924486,"https://t.co/RUJpXZeWIj","https://t.co/9RgjHcNgGm"
1295697073573171200,"https://t.co/lbqLUquhkp","https://t.co/WKrO7iavIK"
