1297027218397437959,"https://t.co/Ihnmiie03B"
1297020673655808001,"https://t.co/34B0Ymg8FY","https://t.co/x3Cf3g8dnb"
1297005573725196288,"https://t.co/CEWpj9Mkc1","https://t.co/d2I39HYe3a"
1296990474792820738,"https://t.co/QBVXiFFY5f","https://t.co/D7psHZKYH9"
1296975528726011905,"https://t.co/j3VJXFKwSa.O"
1296975375377944579,"https://t.co/qXVAghwI9m","https://t.co/mOvRtVmWIU"
1296946085995450373
1296932591136694272,"https://t.co/WLXDofAbQ5","https://t.co/fpdCFvljxr"
1296908683776004097,"https://t.co/EK8Dpt18VP","https://t.co/8jzmPZqjKy"
1296903650397155328,"https://t.co/uTAVjOw0Xe","https://t.co/sTGIfeXbgJ"
1296900557169459205,"https://t.co/34B0Ymg8FY","https://t.co/Fzujhhy22i"
1296897358983131137,"https://t.co/2DHMDdwYkn","https://t.co/GHRfVBQMqO"
1296892327219396610,"https://t.co/CEWpj9Mkc1","https://t.co/iKDwiXRAJw"
1296889809311432705,"https://t.co/iHMVNOOY7h","https://t.co/CaqkA4wdOD"
1296887292817104896,"https://t.co/Rsuo5UYgVo","https://t.co/WDE2uTQ2h8"
1296879742809968641,"https://t.co/QBVXiFFY5f","https://t.co/thxyP08KkP"
1296870935249575936,"https://t.co/a2n8xC7JCb","https://t.co/7oXpjWjuv2"
1296867159981735937,"https://t.co/WLXDofAbQ5","https://t.co/Bwlx2oEERc"
1296865902055620609,"https://t.co/qXVAghf7hO","https://t.co/lM8RjXf7OS"
1296863957316182016,"https://t.co/mmFBDsrBim","https://t.co/l23FaFWLhO"
1296849543988879360,"https://t.co/8WDPM58sC9","https://t.co/Eax2ATVW9G"
1296843253115805696,"https://t.co/LDbH5YD76G","https://t.co/91urUhf46e"
1296840736378249216,"https://t.co/uubHPoizB4","https://t.co/j9YOvGFxhe"
1296838219372195840,"https://t.co/ilno5gp0XF","https://t.co/BNIjaLapsD"
1296830669595836417,"https://t.co/FyVvlTA0FU","https://t.co/dN58f0TPgW"
1296826894768377856,"https://t.co/siBvTdP9aO","https://t.co/D3Wbgc4GaH"
1296820603261861888,"https://t.co/6Vj0ePCveo","https://t.co/F6651bRugk"
1296816829436846081,"https://t.co/GNAPkku0f1","https://t.co/pWhzkTZHiA"
1296814311835348994,"https://t.co/eY8cQyapSc","https://t.co/ybYSvVaouj"
1296811795428958208,"https://t.co/fsDVqPx48F","https://t.co/uHwqtRBU0w"
1296806762050461696,"https://t.co/Up2wMfp61t","https://t.co/u6ZcR65IYl"
1296802232206327811,"https://t.co/2HCjwNvzrg","https://t.co/pB0xOgf8G1"
1296799212365991936,"https://t.co/5IplUgkgBn","https://t.co/uBb8w3Q8pL"
1296794183202562048,"https://t.co/PDgzVG1LgD","https://t.co/xkZvFk1Zrw"
1296791662715379712,"https://t.co/TcM6zlenOi","https://t.co/aIeurW9Bgu"
1296789145977643008,"https://t.co/4gFrCUbdRN","https://t.co/xNCphp8KBv"
1296786629974093824,"https://t.co/f1rqz04Ih2","https://t.co/b04EEGrBZ3"
1296784113282592768,"https://t.co/FyVvlTiphk","https://t.co/3YmgW9GLQN"
