1297383397669720064,"https://t.co/7EUScZRkqv"
1297367959824764929,"https://t.co/5LjXrKIg11","https://t.co/EACtVqpZjP"
1297352983039090693
1297352861517377537,"https://t.co/zqwpkPim47","https://t.co/oWFJXzhUvT"
1297325372837699585
1297294979027668992,"https://t.co/WLXDofiAYx","https://t.co/yWomZXXa8l"
1297274846393577474,"https://t.co/21Cbbx359Y","https://t.co/QiZI17AmWx"
1297271071532605442,"https://t.co/JEXMJhxqCu","https://t.co/jafGQ1vOeL"
1297267296570834946,"https://t.co/hEUaH0lcyi"
1297262266794954754,"https://t.co/BlRrLKdzZm","https://t.co/CxqhAB5xdl"
1297254714527055872,"https://t.co/zqwpkP0Lcz","https://t.co/lremAPSx8a"
1297252197147848707,"https://t.co/muFGF2N0tU","https://t.co/TduLzc9KH9"
1297232064736120833,"https://t.co/WLXDofiAYx","https://t.co/WmFVXNGtga"
1297227031348801536,"https://t.co/rgwEcZkAlz","https://t.co/uE4hRd9gix"
1297224514607050753,"https://t.co/Y1OJhmVPJR","https://t.co/0HNQR7Bxp3"
1297220739855130624,"https://t.co/zsSxLHFgMm","https://t.co/fDnuxfDWIq"
1297216967749689344,"https://t.co/0PJn9KOZ0x","https://t.co/Rt0clNngkq"
1297214448428515328,"https://t.co/PN0dV8kIHf","https://t.co/I6aG3aJBez"
1297210673739571200,"https://t.co/rGf6zdlmqB","https://t.co/QB00biQT7k"
1297204382010716160,"https://t.co/Z33XCYuU5H","https://t.co/iOfgMc1WfD"
1297198090743681025,"https://t.co/3Fj6aQx1XE","https://t.co/qco4NeG0Tu"
1297194317451112448,"https://t.co/n5suyj4yzA","https://t.co/6m9aIiYMhy"
1297189282575265794,"https://t.co/xMS9995I1o","https://t.co/jrj4NqJH2C"
1297185507625955329,"https://t.co/zdNCdPTnxd","https://t.co/hzfjX3nqMO"
1297182991429578753,"https://t.co/eTqScK2l4T","https://t.co/Dr35ltjCKH"
1297179216581136386,"https://t.co/O3T8jsQIVs","https://t.co/UrGsEITb6W"
1297176699935703051,"https://t.co/JMkMp6xA1Q","https://t.co/NE7HCYNgHY"
1297172925049520128,"https://t.co/4k88rfqArm","https://t.co/KbfD3glnMq"
1297169149949390853,"https://t.co/Rxf3E3RpyN","https://t.co/OE7dDkZPMn"
1297166633321062400,"https://t.co/NYXM0D63l2","https://t.co/lOK6E3WYXN"
1297164118122729472,"https://t.co/1oGsJFh9mv","https://t.co/6U1rdbfsY3"
1297161600156094466,"https://t.co/1oGsJFyKe3","https://t.co/hqResa4dV4"
