1298115345115480064,"https://t.co/ygN4z2bQpw"
1298107835708870657,"https://t.co/TJRNSXTF3q","https://t.co/C456p8Jxdm"
1298092738789937155,"https://t.co/G2dxbZFOAG","https://t.co/4sdIrJB5vz"
1298077923585531904
1298077637990993920,"https://t.co/iXGRV8R19D","https://t.co/bEJvpNjf6k"
1298062536517079045,"https://t.co/zycOeNRvMK","https://t.co/SqLKPjBDrh"
1298034854253088768,"https://t.co/WLXDofAbQ5","https://t.co/wrabAzr3p8"
1297992072322981888,"https://t.co/b9HWYoKykI","https://t.co/h4M5OrctmY"
1297989555862282240,"https://t.co/YbvT13ebKk","https://t.co/lTPxU69i4i"
1297987042698072065,"https://t.co/TJRNSXTF3q","https://t.co/QZoHuB8x56"
1297984522579873792,"https://t.co/wl94UeaM0p","https://t.co/ExtOZVnnLD"
1297979489918636032,"https://t.co/llkzxDcc6x","https://t.co/tlcH2Oq0Za"
1297976972975333376,"https://t.co/G2dxbZXpse","https://t.co/dkLb0N4NSM"
1297975714453417984,"https://t.co/WLXDofAbQ5","https://t.co/qRnSnCrv2i"
1297973198353555464,"https://t.co/tpKgbx6QWp","https://t.co/ipsuI7EhkO"
1297971939600867329,"https://t.co/iXGRV8R19D","https://t.co/euE2VoNUbZ"
1297969423123230725,"https://t.co/kmHfxOAhrv","https://t.co/exLt0xTnw6"
1297955581945413638,"https://t.co/zycOeNRvMK","https://t.co/KCu7a0CjR1"
1297944257244704769,"https://t.co/kj2Rfo9I2O","https://t.co/873o99UwVY"
1297940482400583680,"https://t.co/o5tODHnpWF","https://t.co/tkRReZYzsQ"
1297938958022774784,"https://t.co/dYRpQZmxgi","https://t.co/X9ClmxKtPL"
1297936707619364864,"https://t.co/rDRIw9yE26","https://t.co/2XygnePBoM"
1297934191087112198,"https://t.co/OKctrfashk","https://t.co/FNdVtxOA38"
1297926644544540674,"https://t.co/WLXDofiAYx","https://t.co/DQUmMcHbsv"
1297895183992807424,"https://t.co/04NV2SgjGr","https://t.co/MSApftNlWg"
1297892667305725954,"https://t.co/SeeYx29mpS","https://t.co/dM3vSrGFKc"
1297890151092441090,"https://t.co/UyH63OLiUe","https://t.co/V25O4duesB"
1297887634228830208,"https://t.co/OCyolxEhLf","https://t.co/9eXD8aowDR"
1297885118086787072,"https://t.co/uQ4XqlDgab","https://t.co/Bclq4gVCA8"
1297878826320461825,"https://t.co/poeE4fA6EH","https://t.co/bpmYQmGhjj"
1297873795546398722,"https://t.co/dYRpQZE87Q","https://t.co/agqrU0g5C2"
1297871276556595201,"https://t.co/dYRpQZmxgi","https://t.co/ihZVvzG9RW"
