1299919891059834881,"https://t.co/3v3nFtqupX"
1299904676096143362,"https://t.co/R2rapHbtPm","https://t.co/93iIU5y4Qk"
1299889721934581760
1299889575389667330,"https://t.co/cO4Ud2MHqF","https://t.co/zfSlnDkjHy"
1299874940045471746
1299817852753588224,"https://t.co/VBHWZfZwte","https://t.co/plSW1G8cQQ"
1299816594546327553,"https://t.co/WLXDofiAYx","https://t.co/zF5GMUY58n"
1299815336607440896,"https://t.co/GfiXuAf1bx","https://t.co/V6QQGbn9t2"
1299811561469427712,"https://t.co/0G2g4TXbhI","https://t.co/hQ3o059LnJ"
1299801495072768002,"https://t.co/R2rapHbtPm","https://t.co/2S8bD9Hurm"
1299796461874565121,"https://t.co/RgIQh7j294","https://t.co/NRk0rmz6ty"
1299786395612073986,"https://t.co/FeLw7uDG0D","https://t.co/pKbJ7szKcY"
1299775070907367424,"https://t.co/cO4Ud34iPf","https://t.co/6mE4watmJB"
1299771296037756934,"https://t.co/UA7gFhu7G3","https://t.co/zzbhKJSFBn"
1299763746429112321,"https://t.co/L1SNV8wTfA","https://t.co/QvfIuVmMzP"
1299736063963873281,"https://t.co/WLXDofAbQ5","https://t.co/OUvChmMKBz"
1299733547511496705,"https://t.co/jdadihWF9b","https://t.co/8pWXKLalun"
1299731032724340736,"https://t.co/CZYSDKSFgr","https://t.co/TXAkSRlYUC"
1299727256277987329,"https://t.co/14jgm2J5kG","https://t.co/R7TGTF9CXC"
1299723973098459137,"https://t.co/aniKC4Ltou","https://t.co/uxKkFMhO2N"
1299720964650012672,"https://t.co/f4I0McASix","https://t.co/tHqhPeYY5A"
1299718447836925954,"https://t.co/14jgm2J5kG","https://t.co/ZrWPUistlc"
1299715428017516544,"https://t.co/hOBs8uYeDz","https://t.co/lURWrFzxnN"
1299713414852415490,"https://t.co/uMLro6gmH3","https://t.co/18cBuimxXS"
1299709640125460483,"https://t.co/Ln6d1AC4WJ","https://t.co/8G4pQ5BFWu"
1299705865105219584,"https://t.co/otfnFSptdm","https://t.co/mNLOV7yZWk"
1299703348384468993,"https://t.co/sBkTrEdu3y","https://t.co/3tnD0miNaJ"
1299700833291034626,"https://t.co/14jgm2J5kG","https://t.co/vqHgWW7wxb"
1299698315316002817,"https://t.co/14jgm2rtW6","https://t.co/Ho1oDeYLYg"
