1293407391736893440,"https://t.co/9XXsycs2Uk"
1293398511279628288,"https://t.co/mzNqja9V8Y","https://t.co/Oi9Ehh9oLL"
1293393867652452358,"https://t.co/wOQqvJR5Ie","https://t.co/GxviEXvLwe"
1293390620644515841,"https://t.co/hlHIKL8KQz","https://t.co/8P9vPiYLjp"
1293388948975300609,"https://t.co/s2f32y5eCh","https://t.co/EeksTCH0je"
1293387232301154309,"https://t.co/rlO5An3y6s","https://t.co/eWo7Dq68Xb"
1293383557759598593,"https://t.co/KuHJnItMOo","https://t.co/ismijSke4L"
1293378418067804161,"https://t.co/FaiBXrSeQK","https://t.co/KyKzZuYP0z"
1293374900997160961,"https://t.co/FzmlvjRJqL","https://t.co/mIZOVbKHO6"
1293366594513510400,"https://t.co/Bj8jpLLQUa","https://t.co/EgL3xS8uHc"
1293365335626661888,"https://t.co/zYVsIOHFJ1","https://t.co/lYWqHWOV4U"
1293362819212038144,"https://t.co/xwTTBi5KsB","https://t.co/EGZ6cnYuFq"
1293359045034663938,"https://t.co/m3ibouXTcl","https://t.co/9cOTApemhs"
1293355269406076929,"https://t.co/Kc9nL0HvHy","https://t.co/DnILMA6A8z"
1293351494771597312,"https://t.co/tTxdGNwThp","https://t.co/8WuRHVwllU"
1293350236090331136,"https://t.co/Of09h4Xn63","https://t.co/DR6GNSPhQD"
1293347719558258688,"https://t.co/CJLNCy80Si","https://t.co/nvOiPM1cTM"
1293343944609165313,"https://t.co/wJCJjKRU4z","https://t.co/Z2AODt0R5i"
1293343780372803585,"https://t.co/Da4y…"
1293340169739874306,"https://t.co/Mi2YLEytPA","https://t.co/lwJsVag6EW"
1293336398444011523,"https://t.co/pA0uQD7kAT","https://t.co/L5WdFTZspt"
1293332620218994689,"https://t.co/PScY7AlWX6","https://t.co/W7pxjQpEbi"
1293328845500747777,"https://t.co/d7xggxPoYl","https://t.co/fHczBSVn1s"
1293328355949817856,"https://t.co/Ii0jeaP…"
1293325070664962053,"https://t.co/fLPtX5nQ8u","https://t.co/UPq34YqHxf"
1293321295338373122,"https://t.co/da28Hl8AtK","https://t.co/aWoRez7ai7"
1293317520397602816,"https://t.co/lGiym6ecfm","https://t.co/ZmzG6hiqdd"
1293313747012866050,"https://t.co/D5aelRsr22","https://t.co/ubrNpvjoDQ"
1293310961948991489,"https://t.co/3TlDOIMM8N","https://t.co/rvaX7KFEiE"
1293309971095052290,"https://t.co/tRTxAtDvf6","https://t.co/90pe9DdX3K"
1293306198087745536,"https://t.co/xuu0VkdSub","https://t.co/9ztT9TzFQd"
1293302421049966592,"https://t.co/uL9qOqniEw","https://t.co/DPoMqhdxiw"
1293302232675430400,"https://t.co/KggDV2krhH","https://t.co/nFY9vTxHNu"
1293300332580151296,"https://t.co/euZrjQTRuJ"
1293298647375872000,"https://t.co/bT0yAJks2p","https://t.co/Gme09SuG2Z"
1293294871516774401,"https://t.co/fohqzfumaV","https://t.co/d11Nniq2Ts"
1293291100732641281,"https://t.co/edEpBC3yyY","https://t.co/gNvnpVftEa"
1293289838116925440,"https://t.co/EFKwI9sT81","https://t.co/S1B8q0fqUL"
1293289048845496320,"https://t.co/pHwNO29rQE","https://t.co/Xl0DWWTWm7"
1293287321580630018,"https://t.co/VKlKzzKYru","https://t.co/ajChw7Dx5q"
1293283547873193985,"https://t.co/v42t8TxIsC","https://t.co/L18PKHw30o"
1293279179534774277,"https://t.co/qJvdyQKP2O","https://t.co/qxbZ5XD5Ob"
1293275999241678849,"https://t.co/ydXR0IwV7i","https://t.co/hV3CqAc7l6"
1293272222006571008,"https://t.co/iU5Y8Srl7M","https://t.co/dMe6h2ADDG"
1293271882184105984,"https://t.co/kZnV07BLaP"
1293268447313293313,"https://t.co/EMLFwkopI6","https://t.co/K7BKr6AuUs"
1293267188866887680,"https://t.co/VogERUA6TQ","https://t.co/UY9P6tOybW"
1293264672536240128,"https://t.co/Y4MJG8zCR1","https://t.co/YvCT5nLrOB"
1293260907456262145,"https://t.co/GBbzY7shI9","https://t.co/fanMEx9jxg"
1293257122772287488,"https://t.co/dI5lIIJ4bf","https://t.co/qqTIClD736"
1293253348649385990,"https://t.co/yOs0DOjThM","https://t.co/ly1XWmS1z0"
1293249573398261761,"https://t.co/RTBRnLVDLi","https://t.co/kdxQWZveSZ"
1293245797908148225,"https://t.co/tJ0belUZcR","https://t.co/jUAgKZs2vx"
1293242023110217728,"https://t.co/sNN5ldIlVg","https://t.co/FBuVRsYyjm"
1293238665557073921,"https://t.co/JCenj48qvW","https://t.co/6K9rWJN5MR"
1293236538067677184
1293234473308508160,"https://t.co/ppb72FEMGa","https://t.co/BhpgKmjoDk"
1293230701035298816,"https://t.co/0c0PAGYwnM","https://t.co/0qq2B66d7R"
1293226923619790850,"https://t.co/bY9Hyomepw","https://t.co/TiEGiePFde"
1293223149421518849,"https://t.co/c5TYGw9MAZ","https://t.co/RNoqIYZj6e"
1293219374212448257,"https://t.co/CjHtSMea8w","https://t.co/PB0KD8RjA1"
1293215599229906945,"https://t.co/Co3RIQKXfh","https://t.co/KDU3zrelzb"
1293211824674885632,"https://t.co/p1fnCQsdvu","https://t.co/1acG9vMaiU"
1293210618070097921,"https://t.co/D8HASdHi8W"
1293208052074717184,"https://t.co/bk2GQ0Jp7O","https://t.co/DpfKEFn9jj"
1293204651089604611,"https://t.co/mHZUwWMqtB","https://t.co/QkE4ehrcsB"
1293200504051310594,"https://t.co/nMiCKvbOms","https://t.co/jKZ7Q96bgn"
1293196724547264516,"https://t.co/IfGcVtCbHs","https://t.co/tyqrZtZouK"
1293192950965387264,"https://t.co/wQWbwvEPQb","https://t.co/9h4vwTntv3"
1293189174846201856,"https://t.co/F8AncJTiuz"
1293185403021910016,"https://t.co/eohBGIFbSZ","https://t.co/0e2bVJNPqv"
1293181625048748033,"https://t.co/KF5PsHBGIy","https://t.co/he4H4phTiC"
1293178335145549824,"https://t.co/exVmvLztMr","https://t.co/b8HdZrVWjS","https://t.co/dEvUYNfLiE","https://t.co/Y5cHv7aIrP"
1293174817718300673,"https://t.co/TzSmJhlDFP","https://t.co/VanxpVxlQL"
1293170946472198144,"https://t.co/VvPe9oezux","https://t.co/nOGOEaIv1S"
1293166526351069184,"https://t.co/GtF6DEjJQe","https://t.co/VfqKKI1cMP"
1293157465857564672,"https://t.co/Nejplck9K8","https://t.co/0og3HZW6AY"
1293155202833367040
1293071004365979649,"https://t.co/iUp3b4iku5","https://t.co/6xTejjiMp0"
1293068372737961984,"https://t.co/IZyePyyDzz","https://t.co/fNguBhcnZm"
1293061588568637446,"https://t.co/wXLNFFla4L","https://t.co/alHDj3alQ3"
1293057063904587777,"https://t.co/wh5afIvqnR","https://t.co/DoK3h2MCoS"
1293052976991535104,"https://t.co/cAdTYw8yxU","https://t.co/sV4PZa3XrU"
