1286483475285995521,"https://t.co/W8OoA2d1p2"
1286481227201957889,"https://t.co/mMylionFVy","https://t.co/8oTXU1VlGx"
1286476191231221760,"https://t.co/Gb9lGDnrL1","https://t.co/BHplt1gSq9"
1286471158104129537,"https://t.co/Vlz6m6vCPA","https://t.co/kZ1TScFBwn"
1286466125581053957,"https://t.co/akVDO2IhEU","https://t.co/DzCjouOCSi"
1286461091711787009,"https://t.co/tBPsCmpniv","https://t.co/MJj6dnI9Py"
1286457036415344640,"https://t.co/q1kDDD8xCR","https://t.co/v17q9cYIgz"
1286456058735714305,"https://t.co/xqFW7zzc2B","https://t.co/XCBQEyxhk6"
1286454586044116992,"https://t.co/rXbjG8qMpU","https://t.co/5woLF9NfeE"
1286451026711793664,"https://t.co/FR7yGHEKpp","https://t.co/gAwFgtBgJi"
1286445992171069441,"https://t.co/8WLd9OMsiM","https://t.co/FKnMVRJJHI"
1286440959270703107,"https://t.co/X2BKEEAzLq","https://t.co/4fgOCp4F0W"
1286435929746374657,"https://t.co/BmJJhpg2E7","https://t.co/8L4RqAIjwX"
1286430892890759168,"https://t.co/yvUGvWrwxH","https://t.co/MuB7lf55mu"
1286425859692220417,"https://t.co/lxZP6NlQo9","https://t.co/wCUD8jn9Cc"
1286420826489868291,"https://t.co/HPdBr6gd9Z","https://t.co/P5thVuGayL"
1286415793232711683,"https://t.co/KOnlqyVUia","https://t.co/DLsFmMllks"
1286410760151797760,"https://t.co/GtV2mgGNk5","https://t.co/oOx1naVey1"
1286405731265069056,"https://t.co/IAVfo89vUA","https://t.co/4XgjWH4yaN"
1286400693692035073,"https://t.co/5rxWMVYRY1","https://t.co/x9JPfSrOyn"
1286395660598616064,"https://t.co/hyPYM5DBfb","https://t.co/OCIGRquDHd"
1286390631854518272,"https://t.co/Fc499wM657","https://t.co/Obh0NpCbZx"
1286386349336154113,"https://t.co/p0abBFrbFK","https://t.co/k7U8muxXyu"
1286385594357051392,"https://t.co/eJydmMOOlL","https://t.co/C7DdvzHW1s"
1286380561255272450,"https://t.co/Zm2X3KamV2","https://t.co/BLixqM2yQk"
1286380276776665092,"https://t.co/ZpksG24D1w","https://t.co/KnLsLW1pv7"
1286375530800074752,"https://t.co/ZFpZCxzSG7","https://t.co/q7gg7nucpi"
1286367984651579392,"https://t.co/MJM26jVunr","https://t.co/ft5uPtcZP0"
