tweetid,user,content,date,lang,value
7.68E+17,71463624,"— ¿Nivel de inglés? — Alto. — Traduzca juguete. — Toy. — Úselo en una oración. — Toy triste. — Awww, vengache pa' acá. —",Mon Aug 22 20:15:33 +0000 2016,es,NEU
7.72E+17,572924309,"Si soy de área 4 y con suerte pase mate IV y mate V ¿por que me ponen al profe qlero que es mega difícil pasar con el, en mi último año?",Sun Sep 04 17:29:43 +0000 2016,es,N
7.72E+17,158142748,Sabían que su after fav Teatro G. fue construido para mi y un día de estos (hoy) les voy a dar el placer de que me vean ahí metido !!,Sat Sep 03 00:46:12 +0000 2016,es,P
7.72E+17,132254421,"Y hoy por primera vez me salí con el permiso de mi mujer pero no es eso el detalle, si no saber q estarán a mi lado y q llegaré a casa",Sat Sep 03 05:48:34 +0000 2016,es,P
7.75E+17,105530236,"¿Para qué hacen coraje con Ambriz?, al final no lo van a correr y saldrá con su típica frase: ""La culpa es mía, no de los jugadores""",Sat Sep 10 22:49:36 +0000 2016,es,N
7.74E+17,153941006,- Yo Mamá por qué nunca en dejaste disfrutar mi juventud? Ya tengo 30 - Mamá Felipe llegabas borracho a los 17 años - Yo Ayñ mamá!!,Wed Sep 07 21:30:42 +0000 2016,es,N
7.74E+17,439622331,Eso de no poder dormir y despertar en la madrugada se está volviendo muy recurrente y no está padre!! >.; yo no era así.,Fri Sep 09 15:32:19 +0000 2016,es,N
7.73E+17,124661577,#¿NOMBRE?,Tue Sep 06 08:58:40 +0000 2016,es,N
7.69E+17,143502210,"Lejos, lejos, muy lejos...manejar hasta acá esta padre! Algo diferente q mal q ya no está la feria del caballo pq si no, me quedaba jaja!",Fri Aug 26 18:04:17 +0000 2016,es,NEU
7.69E+17,3021645558,"Y fue como ""¿Viste cuantos akatsukis salen?"", ""¿Y Gaara?"", ""¿Y el imbécil de Sasuke?"". Fue como el TODO ese primer episiodio",Sat Aug 27 04:42:44 +0000 2016,es,N
7.57E+17,65789674,"Mi vida es un eterno dilema entre ""mejor me duermo y mañana termino"" e ""'ingue su, me vo'a desvelar hasta morir y lo acabo de una vez"".",Sun Jul 24 07:17:10 +0000 2016,es,N
7.57E+17,288870836,"Iba a ir a dash pero mis 3 cortadas, mi color de piel (color langosta) y mis 5 horas de sueño en 2 días, no me lo permitieron.",Mon Jul 25 04:11:38 +0000 2016,es,N
7.57E+17,1110399944,"¿Cómo que no voy a ver a Sputnik, tampoco me voy a ir a aguascalientes, los Rebel ya tocaron y a Little va mi ex? Y los boletos de la WWE",Sun Jul 24 03:08:52 +0000 2016,es,N
7.56E+17,174736872,"Buen dia! Elige q cada uno de tus dias sea un milagro! que su dia este lleno de armonia, luz, amor y buenas vibras! Yo elijo ser feliz!",Wed Jul 20 18:31:56 +0000 2016,es,P
7.63E+17,200770912,"21 medallas de oro de Phelps, eso que?, La seleccion mexicana de fut ganaron 23 hace 4 años! Ah QUEEE??? Nadamás vale por una? Avisenme!",Wed Aug 10 04:17:34 +0000 2016,es,N
7.55E+17,270230248,"-El de los tacos me dijo: "" Y la güera, joven? "" -Le dije que ya eras piña de otro taco, que ya otra salsa te enchilaba la carne.",Tue Jul 19 03:39:50 +0000 2016,es,N
7.58E+17,53147384,"Traigo desde hace 2 horas una pinche basurita en el ojo y nomás no se me quita. Ya me fuí a lavar, ya me soplaron, ya todo y ahí sigue.",Wed Jul 27 19:48:43 +0000 2016,es,N
