tweetid,user,content,date,lang,value
7.72433E+17,71546415,"Sin ser fan de Juan Gabriel, siempre supe que era una fuerza de la naturaleza. Hoy escuché ""Querida"", y me dio una ternura enorme.",Sun Sep 04 13:54:17 +0000 2016,es,P
7.72489E+17,53311422,Sabes que no tendrás un buen día cuando lo primero que haces en la mañana es tratar de cambiar un foco y este te cae en la cara,Sun Sep 04 17:38:28 +0000 2016,es,N
7.71317E+17,599653674,"En situaciones en las que no sepas que hacer, sumérgete en ti y sólo así podrás escuchar lo que tú alma y tu corazón tienen que decir",Thu Sep 01 12:02:09 +0000 2016,es,N
7.71716E+17,106919551,ayer preguntaban y dónde están las solteras!!!! todo mi grupo alza la mano y yo la única que no y todas voltean a verme AJAJAJAJAJJA,Fri Sep 02 14:25:22 +0000 2016,es,NEU
7.71745E+17,599653674,"Que el finde sea para hacer cualquier cosa que a uno lo haga FELIZ, lo que sea pero que sea lo que a uno le de la reverenda gana",Fri Sep 02 16:20:03 +0000 2016,es,NEU
7.71519E+17,783350538,"En el examen de geometría me estoy esforzando por un 20, bueno fuera que fuese por mi bien sólo es por que alguien esté orgulloso de mi",Fri Sep 02 01:24:11 +0000 2016,es,NEU
7.71521E+17,599653674,"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",Fri Sep 02 01:32:58 +0000 2016,es,NEU
7.7224E+17,3453491741,"Mi mamá compra pollo a la brasa de almuerzo y mi tío viene a visitarnos en la noche y trae otro pollo más, entiendan porque estoy bola",Sun Sep 04 01:09:15 +0000 2016,es,N
7.7462E+17,391872193,"@Fiorela_Gue aw ! recién veo esto, sorrry ! tu pues me dices algo y luego queda en nada vamos hoy a la reu de mi prima? le dije a Mari",Sat Sep 10 14:44:54 +0000 2016,es,NONE
7.74612E+17,7.14677E+17,hoy me toco visitar a mamá en su descanso eterno le contare todo lo que vivo ella fue es y siempre sera mi MEJOR AMIGA sin igual,Sat Sep 10 14:15:59 +0000 2016,es,P
7.73691E+17,2178283473,"@sadalienpotato ¿Opto por el rapado? En serio, estoy muy confusa. (Y admito que me lo corto por aburrimiento, como el 99% de la gente)",Thu Sep 08 01:15:39 +0000 2016,es,NEU
7.75087E+17,7.14677E+17,Lo que mas amo de mi escritorio es que hay una foto de el y mía juntos aparte de mi cuarto mis cuadro también están de el,Sun Sep 11 21:42:49 +0000 2016,es,P
7.75021E+17,54821385,"+Saliste ayer? -No, me quedé en casa. +Qué aburrido te has vuelto! -Eso no dices cuando llega la quincena y no tienes ni para el pasaje.",Sun Sep 11 17:18:25 +0000 2016,es,NONE
7.67891E+17,759585997,"es el tercer día de clases, ya tengo 4 tns de tarea, no he instalado ningún software y acabo de despertar de una siesta de 7 horas",Tue Aug 23 01:09:15 +0000 2016,es,NONE
7.68211E+17,713834336,Le invito un café con leche y un pan de yema con quesito y jamonada EN LA WAFLERA al que me traiga un Nastiflú a la casita,Tue Aug 23 22:19:12 +0000 2016,es,NONE
7.67837E+17,1943379277,"Un chico de mi universidad se me acercó y me dijo tienes unos ojos y unas pestañas bien bonitas, solo atine a decir gracias y me fui rojo",Mon Aug 22 21:34:49 +0000 2016,es,NONE
7.69215E+17,82235556,Ojala mi princesa no se ponga triste porq no fue su abuela elvira el dia de los abuelos solo su papito chus ella queria q vayan los dos,Fri Aug 26 16:49:05 +0000 2016,es,N
7.69545E+17,140685526,"Este ciclo en la u, inventare un horario que los sábados tenga clase de 8 am a 10:30 así llegar 11 al todos los sábados al trabajo #chan",Sat Aug 27 14:40:06 +0000 2016,es,NEU
7.67423E+17,53311422,Me acabo de dar cuenta que ahora gasto casi la mitad de lo que gastaba antes … fácil pueda ahorrar para irme de viaje el otro año,Sun Aug 21 18:09:41 +0000 2016,es,NONE
7.68663E+17,423910199,"No sé si los maltrataban de verdad pero me dio penita ver eso No me gusto eso, no son objetos para que los traten así. Me indigna tanto",Thu Aug 25 04:16:39 +0000 2016,es,N
7.57292E+17,150395540,"@Rosa_Forno Tejida en técnica de crochet (Sólo tejida con las manos - ""Mi dedo es un Crochet"") Tiempo Récord de ejecución: 3 horas..!!!",Sun Jul 24 19:12:08 +0000 2016,es,NONE
7.75944E+17,912534385,Sin sueño pero tranquilo pues ya tomé la pastilla. Esta medicina me lo indicó la Dta para cada 8 horas. La siguuente será a las 8:30 am,Wed Sep 14 06:28:56 +0000 2016,es,NEU
7.56132E+17,1044647474,"Tengo 4 horas de ""webin"" y ni idea de qué hacer  Aquí no puedo poner música a lo fiesta patronal como con Sarita o Max",Thu Jul 21 14:20:18 +0000 2016,es,NONE
7.5988E+17,122459855,"@gaston_acurio 'Francamente' QUÉ?... Vamos, no a todos (ni todo el tiempo) nos tiene que parecer perfecto cada cosa que Ud. hace o dice.",Sun Jul 31 22:34:06 +0000 2016,es,NONE
7.60495E+17,200333457,Mi Jefazo hermoso @AlejandroSanz #DejaQueTeBese en @Fansdelaradio @CarlosJRubiofm @madshila @PaolaMattos11 #FanaticaSiempre @soleyvelez,Tue Aug 02 15:19:50 +0000 2016,es,P
7.59937E+17,633166235,"@adorkblelaura Ross gano, laura no, a&a no Laia presento un premio, hay una foto de ross y laura. las huevonas del fandom hacen bardo",Mon Aug 01 02:21:44 +0000 2016,es,NONE
7.65045E+17,2860685698,Mi mamá odia que deje a Lola libre cerca de sus cosas y hoy la cagué y se comió el cargador de su laptop Ya balí berga,Mon Aug 15 04:39:28 +0000 2016,es,N
7.64949E+17,71037183,"La gente coreando en Río ""ole ole ole ole, delpo! Delpo!"" Eres local @delpotrojuan, saca ventaja de eso y da lo mejor. Pero ojalá pierdas",Sun Aug 14 22:18:26 +0000 2016,es,NEU
7.63176E+17,555472635,#postrecito para endulzarme un poquito,Wed Aug 10 00:53:20 +0000 2016,es,P
7.6319E+17,599653674,"La vida te va a poner donde debas estar, porque en últimas todo aquello que fue, ya es. Y lo que ha de ser, fue ya",Wed Aug 10 01:49:08 +0000 2016,es,NEU
7.65277E+17,629453607,"@Trovack somos dos! jaja ahora eres Martín? oye voy para Lima el prox mes, para el reencuentro d la u, avisas si estarás por esos días",Mon Aug 15 20:00:20 +0000 2016,es,NONE
7.65215E+17,629453607,"Que haya una planta de tamarindo afuera de la que posiblemente va a ser la casa en la que vivas de vez en cuando, es una buena señal",Mon Aug 15 15:52:12 +0000 2016,es,P
7.65149E+17,599653674,"Empieza la semana con la ilusión de saber que va a ser mágica, llena de momentos felices, sonrisas, miradas y mucho amor. Que así sea",Mon Aug 15 11:32:15 +0000 2016,es,NONE
7.64608E+17,1002719012,Todo estaba bien hasta que me desilusionaron .....................me siento herida .......................que dolor ...... .....,Sat Aug 13 23:44:02 +0000 2016,es,N
7.65403E+17,2836599447,"Sean las cuentas de Mc reales o no, no lo veo bien si quieren una cuenta consigan el dinero y cómprenla con su esfuerzo, no por rts",Tue Aug 16 04:21:29 +0000 2016,es,N
7.58355E+17,36907575,@isachi8 gracias!!!!!! Washis estoy feliz y aprovechando todo lo q puedo gracias por los deseos y buena vibra. Un abrazote a la distancia,Wed Jul 27 17:35:27 +0000 2016,es,P
7.58286E+17,407126009,"No vayan por la Av Brasil está cerrada y no le echen la culpa a PPK, el quiso que se haga en el central Park el desfile",Wed Jul 27 12:59:14 +0000 2016,es,NEU
